,Sell,Buy,Installment,Updated_at
338,853679,838739,853679,2021-04-13T00:00:00.000Z
339,850627,835741,850627,2021-04-12T00:00:00.000Z
340,851601,836697,851601,2021-04-10T00:00:00.000Z
341,851844,836936,851844,2021-04-09T00:00:00.000Z
342,862576,847480,862576,2021-04-08T00:00:00.000Z
343,853067,838138,853067,2021-04-07T00:00:00.000Z
344,860585,845524,860585,2021-04-06T00:00:00.000Z
345,859774,844727,859774,2021-04-05T00:00:00.000Z
346,859992,844942,859992,2021-04-02T00:00:00.000Z
347,859646,844602,859646,2021-04-01T00:00:00.000Z
348,847628,832794,847628,2021-03-31T00:00:00.000Z
349,831733,817177,831733,2021-03-30T00:00:00.000Z
350,841558,826830,841558,2021-03-29T00:00:00.000Z
351,847942,833103,847942,2021-03-26T00:00:00.000Z
352,852275,837360,852275,2021-03-25T00:00:00.000Z
353,851444,836543,851444,2021-03-24T00:00:00.000Z
354,847505,832673,847505,2021-03-23T00:00:00.000Z
355,852711,837788,852711,2021-03-22T00:00:00.000Z
356,851339,836440,851339,2021-03-19T00:00:00.000Z
357,848594,833743,848594,2021-03-18T00:00:00.000Z
358,849384,834519,849384,2021-03-17T00:00:00.000Z
359,851671,836766,851671,2021-03-16T00:00:00.000Z
360,846652,831835,846652,2021-03-15T00:00:00.000Z
361,844796,830012,844796,2021-03-13T00:00:00.000Z
362,834751,820142,834751,2021-03-12T00:00:00.000Z
363,847603,832769,847603,2021-03-11T00:00:00.000Z
364,844957,830170,844957,2021-03-10T00:00:00.000Z
365,848064,833222,848064,2021-03-09T00:00:00.000Z
366,826811,812341,826811,2021-03-08T00:00:00.000Z
367,832948,818371,832948,2021-03-06T00:00:00.000Z
368,830703,816165,830703,2021-03-05T00:00:00.000Z
369,841189,826468,841189,2021-03-04T00:00:00.000Z
370,833309,818726,833309,2021-03-03T00:00:00.000Z
371,846065,831258,846065,2021-03-02T00:00:00.000Z
372,849803,834931,849803,2021-03-01T00:00:00.000Z
373,839119,824434,839119,2021-02-27T00:00:00.000Z
374,844526,829746,844526,2021-02-26T00:00:00.000Z
375,843820,829053,843820,2021-02-25T00:00:00.000Z
376,858630,843603,858630,2021-02-24T00:00:00.000Z
377,868063,852871,868063,2021-02-23T00:00:00.000Z
378,872554,857284,872554,2021-02-22T00:00:00.000Z
379,856058,841076,856058,2021-02-20T00:00:00.000Z
380,857925,842911,857925,2021-02-19T00:00:00.000Z
381,851590,836687,851590,2021-02-18T00:00:00.000Z
382,852685,837763,852685,2021-02-17T00:00:00.000Z
383,862550,847455,862550,2021-02-16T00:00:00.000Z
384,866072,850915,866072,2021-02-15T00:00:00.000Z
385,872346,857079,872346,2021-02-13T00:00:00.000Z
386,866826,851656,866826,2021-02-12T00:00:00.000Z
387,880293,864887,880293,2021-02-11T00:00:00.000Z
388,879560,864167,879560,2021-02-10T00:00:00.000Z
389,877259,861906,877259,2021-02-09T00:00:00.000Z
390,880417,865009,880417,2021-02-08T00:00:00.000Z
391,869937,854713,869937,2021-02-06T00:00:00.000Z
392,866927,851755,866927,2021-02-05T00:00:00.000Z
393,849147,834286,849147,2021-02-04T00:00:00.000Z
394,868476,853277,868476,2021-02-03T00:00:00.000Z
395,870378,855146,870378,2021-02-02T00:00:00.000Z
396,884965,869478,884965,2021-02-01T00:00:00.000Z
397,877581,862223,877581,2021-01-30T00:00:00.000Z
398,883633,868169,883633,2021-01-29T00:00:00.000Z
399,886817,871297,886817,2021-01-28T00:00:00.000Z
400,878453,863080,878453,2021-01-27T00:00:00.000Z
401,884096,868624,884096,2021-01-26T00:00:00.000Z
402,879767,864371,879767,2021-01-25T00:00:00.000Z
403,881098,865678,881098,2021-01-23T00:00:00.000Z
404,880720,865307,880720,2021-01-22T00:00:00.000Z
405,884977,869489,884977,2021-01-21T00:00:00.000Z
406,887370,871841,887370,2021-01-20T00:00:00.000Z
407,878266,862896,878266,2021-01-19T00:00:00.000Z
408,874393,859091,874393,2021-01-18T00:00:00.000Z
409,864127,849004,864127,2021-01-16T00:00:00.000Z
410,866388,851226,866388,2021-01-15T00:00:00.000Z
411,873197,857916,873197,2021-01-14T00:00:00.000Z
412,878497,863123,878497,2021-01-13T00:00:00.000Z
413,877061,861712,877061,2021-01-12T00:00:00.000Z
414,875964,860634,875964,2021-01-11T00:00:00.000Z
415,865848,850695,865848,2021-01-09T00:00:00.000Z
416,872875,857599,872875,2021-01-08T00:00:00.000Z
417,894077,878430,894077,2021-01-07T00:00:00.000Z
418,892212,876598,892212,2021-01-06T00:00:00.000Z
419,908201,892307,908201,2021-01-05T00:00:00.000Z
420,907460,891579,907460,2021-01-04T00:00:00.000Z
421,903333,887524,903333,2021-01-02T00:00:00.000Z
422,902636,886839,902636,2021-01-01T00:00:00.000Z
423,896424,880736,896424,2020-12-31T00:00:00.000Z
424,889805,874233,889805,2020-12-30T00:00:00.000Z
425,892693,877070,892693,2020-12-29T00:00:00.000Z
426,900372,884615,900372,2020-12-28T00:00:00.000Z
427,896416,880728,896416,2020-12-25T00:00:00.000Z
428,894424,878771,894424,2020-12-24T00:00:00.000Z
429,895895,880216,895895,2020-12-23T00:00:00.000Z
430,893022,877394,893022,2020-12-22T00:00:00.000Z
431,893683,878043,893683,2020-12-21T00:00:00.000Z
432,897796,882084,897796,2020-12-20T00:00:00.000Z
433,900012,884261,900012,2020-12-18T00:00:00.000Z
434,905602,889753,905602,2020-12-17T00:00:00.000Z
435,889043,873484,889043,2020-12-16T00:00:00.000Z
436,887094,871569,887094,2020-12-15T00:00:00.000Z
437,877043,861694,877043,2020-12-14T00:00:00.000Z
438,880468,865059,880468,2020-12-12T00:00:00.000Z
439,883419,867959,883419,2020-12-11T00:00:00.000Z
440,880125,864722,880125,2020-12-10T00:00:00.000Z
441,882592,867146,882592,2020-12-09T00:00:00.000Z
442,895954,880274,895954,2020-12-08T00:00:00.000Z
443,896038,880357,896038,2020-12-07T00:00:00.000Z
444,888804,873249,888804,2020-12-05T00:00:00.000Z
445,889429,873863,889429,2020-12-04T00:00:00.000Z
446,886341,870830,886341,2020-12-03T00:00:00.000Z
447,881096,865676,881096,2020-12-02T00:00:00.000Z
448,873657,858368,873657,2020-12-01T00:00:00.000Z
449,855814,840837,855814,2020-11-30T00:00:00.000Z
450,862133,847045,862133,2020-11-28T00:00:00.000Z
451,860354,845297,860354,2020-11-27T00:00:00.000Z
452,873172,857891,873172,2020-11-26T00:00:00.000Z
453,873497,858210,873497,2020-11-25T00:00:00.000Z
454,873586,858298,873586,2020-11-24T00:00:00.000Z
455,883677,868212,883677,2020-11-23T00:00:00.000Z
456,907725,891839,907725,2020-11-21T00:00:00.000Z
457,908691,892788,908691,2020-11-20T00:00:00.000Z
458,895254,879587,895254,2020-11-19T00:00:00.000Z
459,903697,887882,903697,2020-11-18T00:00:00.000Z
460,904657,888825,904657,2020-11-17T00:00:00.000Z
461,905699,889849,905699,2020-11-16T00:00:00.000Z
462,917726,901665,917726,2020-11-14T00:00:00.000Z
463,918016,901950,918016,2020-11-13T00:00:00.000Z
464,910268,894338,910268,2020-11-12T00:00:00.000Z
465,893136,877506,893136,2020-11-11T00:00:00.000Z
466,896331,880645,896331,2020-11-10T00:00:00.000Z
467,893959,878314,893959,2020-11-09T00:00:00.000Z
468,942366,925874,942366,2020-11-07T00:00:00.000Z
469,938616,922190,938616,2020-11-06T00:00:00.000Z
470,945688,929138,945688,2020-11-05T00:00:00.000Z
471,940743,924279,940743,2020-11-04T00:00:00.000Z
472,938962,922530,938962,2020-11-03T00:00:00.000Z
473,940336,923880,940336,2020-11-02T00:00:00.000Z
474,933763,917422,933763,2020-10-31T00:00:00.000Z
475,935297,918929,935297,2020-10-30T00:00:00.000Z
476,931981,915671,931981,2020-10-29T00:00:00.000Z
477,931391,915091,931391,2020-10-28T00:00:00.000Z
478,948204,931610,948204,2020-10-27T00:00:00.000Z
479,945841,929288,945841,2020-10-26T00:00:00.000Z
480,944367,927840,944367,2020-10-24T00:00:00.000Z
481,942045,925559,942045,2020-10-23T00:00:00.000Z
482,941679,925199,941679,2020-10-22T00:00:00.000Z
483,955382,938662,955382,2020-10-21T00:00:00.000Z
484,943409,926899,943409,2020-10-20T00:00:00.000Z
485,946261,929701,946261,2020-10-19T00:00:00.000Z
486,948010,931419,948010,2020-10-17T00:00:00.000Z
487,948606,932005,948606,2020-10-16T00:00:00.000Z
488,946680,930113,946680,2020-10-15T00:00:00.000Z
489,957568,928840,957568,2020-10-14T00:00:00.000Z
490,945357,916996,945357,2020-10-13T00:00:00.000Z
491,951955,923396,951955,2020-10-12T00:00:00.000Z
492,973540,944333,973540,2020-10-10T00:00:00.000Z
493,972213,943046,972213,2020-10-09T00:00:00.000Z
494,952964,924375,952964,2020-10-08T00:00:00.000Z
495,950397,921885,950397,2020-10-07T00:00:00.000Z
496,955799,927125,955799,2020-10-06T00:00:00.000Z
