Sell,Buy,Updated_at
706124,681409,2019-10-28
706341,681619,2019-10-25
699861,675365,2019-10-24
700743,676216,2019-10-23
697181,672779,2019-10-22
700984,676449,2019-10-21
703072,678464,2019-10-18
704616,679954,2019-10-17
703714,679084,2019-10-16
707582,682816,2019-10-15
704093,679449,2019-10-14
709251,684427,2019-10-11
714408,689403,2019-10-10
714146,689150,2019-10-09
710298,685437,2019-10-08
711819,686905,2019-10-07
714648,689635,2019-10-04
712049,687127,2019-10-03
704954,680280,2019-10-02
695712,671362,2019-10-01
705213,680530,2019-09-30
710155,685299,2019-09-27
713613,688636,2019-09-26
723544,698219,2019-09-25
717038,691941,2019-09-24
715919,690861,2019-09-23
709262,684437,2019-09-20
706195,681478,2019-09-19
707127,682377,2019-09-18
706245,681526,2019-09-17
704582,679921,2019-09-16
702464,677877,2019-09-13
707130,682380,2019-09-12
702511,677923,2019-09-11
701382,676833,2019-09-10
714209,674927,2019-09-09
706609,667745,2019-09-06
724636,684781,2019-09-05
724447,684602,2019-09-04
720512,680883,2019-09-03
717724,678249,2019-09-02
719677,680094,2019-08-30
727179,687184,2019-08-29
727041,687053,2019-08-28
722859,683101,2019-08-27
718786,679252,2019-08-26
705507,666704,2019-08-23
707638,668717,2019-08-22
707590,668672,2019-08-21
706912,668031,2019-08-20
708414,669451,2019-08-19
715534,676179,2019-08-16
713997,674727,2019-08-15
711575,672438,2019-08-14
718530,679010,2019-08-13
706078,667243,2019-08-12
707508,668595,2019-08-09
705810,666990,2019-08-08
703269,664589,2019-08-07
689730,651794,2019-08-06
685197,647511,2019-08-05
671113,634201,2019-08-02
652526,616637,2019-08-01
664350,627810,2019-07-31
661412,625034,2019-07-30
658100,621904,2019-07-29
656527,620418,2019-07-26
661473,625091,2019-07-25
659154,622900,2019-07-24
655123,619091,2019-07-23
658191,621990,2019-07-22
665756,629139,2019-07-19
657244,621095,2019-07-18
646640,611074,2019-07-17
652420,616536,2019-07-16
657995,621805,2019-07-15
656749,620627,2019-07-12
665912,629286,2019-07-11
651787,615938,2019-07-10
650634,614849,2019-07-09
657022,620885,2019-07-08
661543,625158,2019-07-05
661623,625233,2019-07-04
666824,630148,2019-07-03
651191,615375,2019-07-02
647737,612111,2019-07-01
665377,628781,2019-06-28
658475,622258,2019-06-27
662822,626366,2019-06-26
673638,636587,2019-06-25
660005,623704,2019-06-24
653421,617482,2019-06-21
642535,607195,2019-06-20
638303,603196,2019-06-19
639466,604295,2019-06-18
633413,598575,2019-06-17
636671,601654,2019-06-14
630403,595730,2019-06-13
630363,595693,2019-06-12
624660,590303,2019-06-11
628165,593615,2019-06-10
617043,583105,2019-05-31
611335,577711,2019-05-29
611363,577738,2019-05-28
613743,579987,2019-05-27
615007,581181,2019-05-24
612559,578868,2019-05-23
610576,576994,2019-05-22
610603,577019,2019-05-21
606830,573454,2019-05-20
612977,579263,2019-05-17
617095,583155,2019-05-16
616381,582480,2019-05-16
616549,582638,2019-05-15
616263,582369,2019-05-15
611745,578099,2019-05-14
612453,578768,2019-05-14
605517,572213,2019-05-13
605988,572659,2019-05-13
606966,573583,2019-05-10
606588,573225,2019-05-10
604546,571296,2019-05-09
603134,569961,2019-05-09
605511,572208,2019-05-08
604993,571719,2019-05-08
603392,570205,2019-05-07
603721,570517,2019-05-07
602315,569188,2019-05-06
601798,568699,2019-05-06
596566,563755,2019-05-03
595910,563135,2019-05-03
595154,562420,2019-05-02
596934,564103,2019-05-02
600276,567261,2019-04-30
599014,566068,2019-04-30
598307,565400,2019-04-29
600409,567387,2019-04-29
597841,564960,2019-04-26
597235,564387,2019-04-26
592280,559704,2019-04-25
592187,559616,2019-04-25
590104,557648,2019-04-24
589316,556904,2019-04-24
590885,558386,2019-04-23
590885,558386,2019-04-23
590506,558028,2019-04-22
590460,557985,2019-04-22
591150,558637,2019-04-18
589389,556973,2019-04-18
594626,562272,2019-04-16
594997,562272,2019-04-16
595626,562867,2019-04-15
598228,565325,2019-04-15
602095,568979,2019-04-12
602327,569199,2019-04-12
607424,574015,2019-04-11
608728,575248,2019-04-11
607045,573657,2019-04-10
605834,572513,2019-04-10
606831,573455,2019-04-09
605200,571914,2019-04-09
603922,570706,2019-04-08
603363,570178,2019-04-08
601947,568840,2019-04-05
602507,569369,2019-04-05
605343,572049,2019-04-04
604640,571385,2019-04-04
602941,569779,2019-04-02
603409,570222,2019-04-02
604878,571609,2019-04-01
605862,572540,2019-04-01
571000,571000,2019-03-29
572285,572285,2019-03-29
577791,577791,2019-03-28
578409,578409,2019-03-28
580211,580211,2019-03-27
580917,580917,2019-03-27
581699,581699,2019-03-26
583466,583466,2019-03-26
580145,580145,2019-03-25
579396,579396,2019-03-25
575588,575588,2019-03-22
608762,575280,2019-03-22
616312,582415,2019-03-21
616265,582371,2019-03-21
610491,576914,2019-03-20
611240,577622,2019-03-20
611830,578179,2019-03-19
612018,578357,2019-03-19
610671,577084,2019-03-18
612462,578777,2019-03-17
612462,578777,2019-03-17
612462,578777,2019-03-17
612462,578777,2019-03-16
612462,578777,2019-03-16
612462,578777,2019-03-15
609927,576381,2019-03-15
611574,577938,2019-03-15
611574,577938,2019-03-14
613452,579713,2019-03-14
613241,579513,2019-03-14
613241,579513,2019-03-13
612443,578759,2019-03-13
610395,576823,2019-03-12
609924,576378,2019-03-12
610221,576659,2019-03-11
610080,576526,2019-03-11
601991,568881,2019-03-11
601991,568881,2019-03-10
601991,568881,2019-03-10
601991,568881,2019-03-09
601991,568881,2019-03-09
601991,568881,2019-03-08
598780,565847,2019-03-08
599959,566962,2019-03-08
599959,566962,2019-03-07
599959,566962,2019-03-07
599959,566962,2019-03-06
598843,565907,2019-03-06
598810,565875,2019-03-06
598810,565875,2019-03-05
599229,566271,2019-03-05
599504,566532,2019-03-05
599504,566532,2019-03-04
602572,569430,2019-03-04
605508,572205,2019-03-03
605508,572205,2019-03-03
605508,572205,2019-03-02
605508,572205,2019-03-02
605508,572205,2019-03-01
608331,574873,2019-03-01
610864,577267,2019-03-01
610864,577267,2019-02-28
608419,574956,2019-02-28
610933,577331,2019-02-27
611485,577853,2019-02-27
612020,578359,2019-02-26
612712,579013,2019-02-26
615309,581468,2019-02-26
615309,581468,2019-02-25
616190,582299,2019-02-25
613559,579813,2019-02-25
613559,579813,2019-02-24
613559,579813,2019-02-24
613559,579813,2019-02-23
613559,579813,2019-02-23
613559,579813,2019-02-22
614253,580469,2019-02-22
619638,585558,2019-02-22
619638,585558,2019-02-21
619129,585077,2019-02-21
623496,589204,2019-02-21
623496,589204,2019-02-20
625122,590740,2019-02-20
617093,583153,2019-02-20
617093,583153,2019-02-19
615328,581485,2019-02-19
614643,580838,2019-02-19
614643,580838,2019-02-18
615759,581892,2019-02-18
610176,576617,2019-02-17
610176,576617,2019-02-17
610176,576617,2019-02-16
610176,576617,2019-02-16
610176,576617,2019-02-15
608877,575389,2019-02-15
605105,571824,2019-02-15
605105,571824,2019-02-14
605059,571781,2019-02-14
608962,575469,2019-02-14
608962,575469,2019-02-13
608266,574812,2019-02-13
606337,572989,2019-02-13
606337,572989,2019-02-12
604443,571199,2019-02-12
603077,569908,2019-02-12
603077,569908,2019-02-11
602244,569120,2019-02-11
602244,569120,2019-02-11
602244,569120,2019-02-10
602244,569120,2019-02-10
602244,569120,2019-02-09
602244,569120,2019-02-09
602244,569120,2019-02-08
601968,568859,2019-02-08
597611,564742,2019-02-08
597611,564742,2019-02-07
597794,564915,2019-02-07
604759,571497,2019-02-07
604759,571497,2019-02-06
604023,570802,2019-02-06
602758,569607,2019-02-05
602758,569607,2019-02-05
602758,569607,2019-02-04
604415,571172,2019-02-04
607944,574507,2019-02-04
607944,574507,2019-02-03
607944,574507,2019-02-03
607944,574507,2019-02-02
607944,574507,2019-02-02
607944,574507,2019-02-01
607576,574159,2019-02-01
599432,569460,2019-01-31
598479,568555,2019-01-31
623058,591905,2019-01-31
623058,591905,2019-01-30
622575,591446,2019-01-30
618982,588033,2019-01-30
618982,588033,2019-01-29
617538,586661,2019-01-29
618413,587492,2019-01-28
618636,587704,2019-01-28
613213,582552,2019-01-28
613213,582552,2019-01-27
613213,582552,2019-01-27
